Program_ID,Year_ID,Category_ID,FMR_Code,Program_Name,Program_Name_HI,Program_Description,Nodal_Officer,Display_Order,Status
PRG0026,FY2627,CAT03,NCD.10,National Programme for Prevention and Control of Fluorosis (NPPCF),,National Programme for Prevention and Control of Fluorosis (NPPCF) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,26,Active
PRG0027,FY2627,CAT03,NCD.11,National Programme for Prevention and Control of Deafness (NPPCD),,National Programme for Prevention and Control of Deafness (NPPCD) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,27,Active
PRG0028,FY2627,CAT03,NCD.12,National Programme for Prevention and Control of Burn Injuries (NPPCBI),,National Programme for Prevention and Control of Burn Injuries (NPPCBI) services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,28,Active
PRG0029,FY2627,CAT03,NCD.13,State specific Programme Interventions,,State specific Programme Interventions services provided across the six blocks of Sheikhpura district through government health facilities.,District NCD Nodal Officer,29,Active
PRG0030,FY2627,CAT04,HSS(U).1,Comprehensive Primary Healthcare (CPHC),,Comprehensive Primary Healthcare (CPHC) services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,30,Active
PRG0031,FY2627,CAT04,HSS(U).2,Community Engagement,,Community Engagement services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,31,Active
PRG0032,FY2627,CAT04,HSS(U).3,Public Health Institutions as per IPHS norms,,Public Health Institutions as per IPHS norms services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,32,Active
PRG0033,FY2627,CAT04,HSS(U).4,Quality Assurance,,Quality Assurance services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,33,Active
PRG0034,FY2627,CAT04,HSS(U).5,HRH,,HRH services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,34,Active
PRG0035,FY2627,CAT04,HSS(U).6,Technical Assistance,,Technical Assistance services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,35,Active
PRG0036,FY2627,CAT04,HSS(U).7,Access,,Access services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,36,Active
PRG0037,FY2627,CAT04,HSS(U).8,Innovation,,Innovation services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,37,Active
PRG0038,FY2627,CAT04,HSS(U).9,Untied Grants,,Untied Grants services provided across the six blocks of Sheikhpura district through government health facilities.,Urban Health Nodal Officer,38,Active
PRG0039,FY2627,CAT05,HSS.1,Comprehensive Primary Healthcare (CPHC),,Comprehensive Primary Healthcare (CPHC) services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,39,Active
PRG0040,FY2627,CAT05,HSS.2,Blood Services & Disorders,,Blood Services & Disorders services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,40,Active
PRG0041,FY2627,CAT05,HSS.3,Community Engagement,,Community Engagement services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,41,Active
PRG0042,FY2627,CAT05,HSS.4,Public Health Institutions as per IPHS norms,,Public Health Institutions as per IPHS norms services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,42,Active
PRG0043,FY2627,CAT05,HSS.5,Referral Transport,,Referral Transport services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,43,Active
PRG0044,FY2627,CAT05,HSS.6,Quality Assurance,,Quality Assurance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,44,Active
PRG0045,FY2627,CAT05,HSS.7,Other Initiatives to improve access,,Other Initiatives to improve access services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,45,Active
PRG0046,FY2627,CAT05,HSS.8,Inventory management,,Inventory management services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,46,Active
