Program_ID,Year_ID,Category_ID,FMR_Code,Program_Name,Program_Name_HI,Program_Description,Nodal_Officer,Display_Order,Status
PRG0144,FY2425,CAT05,HSS.1,Comprehensive Primary Healthcare (CPHC),,Comprehensive Primary Healthcare (CPHC) services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,36,Active
PRG0145,FY2425,CAT05,HSS.2,Blood Services & Disorders,,Blood Services & Disorders services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,37,Active
PRG0146,FY2425,CAT05,HSS.3,Community Engagement,,Community Engagement services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,38,Active
PRG0147,FY2425,CAT05,HSS.4,Public Health Institutions as per IPHS norms,,Public Health Institutions as per IPHS norms services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,39,Active
PRG0148,FY2425,CAT05,HSS.5,Referral Transport,,Referral Transport services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,40,Active
PRG0149,FY2425,CAT05,HSS.6,Quality Assurance,,Quality Assurance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,41,Active
PRG0150,FY2425,CAT05,HSS.7,Other Initiatives to improve access,,Other Initiatives to improve access services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,42,Active
PRG0151,FY2425,CAT05,HSS.8,Inventory management,,Inventory management services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,43,Active
PRG0152,FY2425,CAT05,HSS.9,HRH,,HRH services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,44,Active
PRG0153,FY2425,CAT05,HSS.10,Enhancing HR,,Enhancing HR services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,45,Active
PRG0154,FY2425,CAT05,HSS.11,Technical Assistance,,Technical Assistance services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,46,Active
PRG0155,FY2425,CAT05,HSS.12,IT interventions and systems,,IT interventions and systems services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,47,Active
PRG0156,FY2425,CAT05,HSS.13,Innovation,,Innovation services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,48,Active
PRG0157,FY2425,CAT05,HSS.14,Untied Grants,,Untied Grants services provided across the six blocks of Sheikhpura district through government health facilities.,District Programme Manager,49,Active
